year,agegroup,population,deaths
1992,50-100,26455648,802
1993,0-4,22206590,345
1993,5-14,44071366,48
1993,15-34,71116583,131
1993,35-49,28737878,118
1993,50-100,27172749,813
1994,0-4,22220531,331
1994,5-14,44117484,48
1994,15-34,72602640,136
1994,35-49,29772143,122
1994,50-100,27879028,846
1995,0-4,22302476,316
1995,5-14,44093118,48
1995,15-34,74028495,138
1995,35-49,30895789,126
1995,50-100,28568177,868
1996,0-4,22436997,304
1996,5-14,44036175,46
1996,15-34,75387392,141
1996,35-49,32094775,133
1996,50-100,29249008,900
1997,0-4,22611801,291
1997,5-14,43944197,45
1997,15-34,76694128,140
1997,35-49,33371557,135
1997,50-100,29914411,925
1998,0-4,22779928,276
1998,5-14,43820524,40
1998,15-34,77942202,146
1998,35-49,34725031,144
1998,50-100,30559103,952
1999,0-4,22851301,260
1999,5-14,43727256,40
1999,15-34,79098780,153
1999,35-49,36160829,153
1999,50-100,31166501,985
2000,0-4,22827685,246
2000,5-14,43730789,39
2000,15-34,80095178,153
2000,35-49,37637451,157
2000,50-100,31786685,1012
2001,0-4,22740220,233
2001,5-14,43883442,39
2001,15-34,80887951,154
2001,35-49,39102130,162
2001,50-100,32484156,1034
2002,0-4,22617020,223
2002,5-14,44116026,37
2002,15-34,81552367,147
2002,35-49,40549821,165
2002,50-100,33253259,1050
2003,0-4,22509090,214
2003,5-14,44311472,37
2003,15-34,82172216,150
2003,35-49,41961712,172
2003,50-100,34093516,1081
2004,0-4,22479480,235
2004,5-14,44412071,64
2004,15-34,82726585,190
2004,35-49,43324399,205
2004,50-100,34984114,1155
2005,0-4,22593402,199
2005,5-14,44482906,35
2005,15-34,83200134,150
2005,35-49,44645152,182
2005,50-100,35950054,1141
2006,0-4,22819644,195
2006,5-14,44553050,35
2006,15-34,83648060,150
2006,35-49,45924248,187
2006,50-100,37006649,1173
2007,0-4,23101503,187
2007,5-14,44625301,34
2007,15-34,84055996,149
2007,35-49,47150007,192
2007,50-100,38129529,1200
2008,0-4,23393804,180
2008,5-14,44705606,34
2008,15-34,84405336,148
2008,35-49,48334093,195
2008,50-100,39319063,1234
2009,0-4,23652190,175
2009,5-14,44780397,33
2009,15-34,84758330,145
2009,35-49,49452928,199
2009,50-100,40576182,1261
2010,0-4,23871479,168
2010,5-14,44903390,32
2010,15-34,85122305,147
2010,35-49,50509597,207
2010,50-100,41898549,1299
2011,0-4,24101187,165
2011,5-14,45062643,29
2011,15-34,85492339,144
2011,35-49,51530788,207
2011,50-100,43283074,1328
2012,0-4,24342408,158
2012,5-14,45241727,28
2012,15-34,85875341,142
2012,35-49,52511674,209
2012,50-100,44727373,1360
2013,0-4,24512290,151
2013,5-14,45445854,27
2013,15-34,86195345,141
2013,35-49,53474444,209
2013,50-100,46224532,1390
2014,0-4,24582286,143
2014,5-14,45706145,27
2014,15-34,86391956,141
2014,35-49,54423055,208
2014,50-100,47773955,1417
2015,0-4,24527207,137
2015,5-14,46068696,26
2015,15-34,86492946,139
2015,35-49,55328364,211
2015,50-100,49382035,1454
2016,0-4,24310677,127
2016,5-14,46539711,26
2016,15-34,86549686,137
2016,35-49,56175370,211
2016,50-100,51051973,1487
2017,0-4,23939433,121
2017,5-14,47076607,25
2017,15-34,86575519,131
2017,35-49,56984231,211
2017,50-100,52770866,1519
2018,0-4,23539131,117
2018,5-14,47552527,26
2018,15-34,86577994,132
2018,35-49,57761307,215
2018,50-100,54520886,1556
2019,0-4,23202326,110
2019,5-14,47895477,24
2019,15-34,86605558,124
2019,35-49,58480118,212
2019,50-100,56305901,1583
2020,0-4,22922408,106
2020,5-14,48074428,23
2020,15-34,86778955,123
2020,35-49,59074634,239
2020,50-100,57964440,1936
2021,0-4,22679920,100
2021,5-14,48101376,23
2021,15-34,87132513,133
2021,35-49,59502113,279
2021,50-100,59342130,2241
2022,0-4,22488310,96
2022,5-14,47983504,22
2022,15-34,87577017,120
2022,35-49,59869692,210
2022,50-100,60912004,1641
2023,0-4,22348674,93
2023,5-14,47765053,22
2023,15-34,88006573,119
2023,35-49,60246916,209
2023,50-100,62822848,1678
