year,age,population,deaths
1982,100+,198,0
1982,15-19,16916031,36
1982,20-24,14334688,39
1982,25-29,11524188,33
1982,30-34,8970343,30
1982,35-39,8247773,33
1982,40-44,7795342,42
1982,45-49,6915580,52
1982,5-9,20537462,45
1982,50-54,5741878,61
1982,55-59,4426969,70
1982,60-64,3288689,82
1982,65-69,2538679,99
1982,70-74,1763177,113
1982,75-79,963599,99
1982,80-84,397437,62
1982,85-89,115034,26
1982,90-94,21302,7
1982,95-99,2436,0
1983,0-4,22732718,553
1983,10-14,19344353,26
1983,100+,207,0
1983,15-19,17368393,36
1983,20-24,14840717,39
1983,25-29,12067317,32
1983,30-34,9325937,30
1983,35-39,8302435,32
1983,40-44,7863443,41
1983,45-49,7086838,51
1983,5-9,20795242,43
1983,50-54,5921924,61
1983,55-59,4629937,70
1983,60-64,3398505,82
1983,65-69,2578423,99
1983,70-74,1820084,114
1983,75-79,1006723,100
1983,80-84,421044,65
1983,85-89,121823,27
1983,90-94,22720,7
1983,95-99,2603,0
1984,0-4,22879374,535
1984,10-14,19623701,26
1984,100+,217,0
1984,15-19,17805344,35
1984,20-24,15330736,39
1984,25-29,12609554,32
1984,30-34,9795692,30
1984,35-39,8345110,32
1984,40-44,7919223,39
1984,45-49,7243568,50
1984,5-9,21086743,40
1984,50-54,6100300,61
1984,55-59,4834379,72
1984,60-64,3528599,84
1984,65-69,2623946,99
1984,70-74,1871880,116
1984,75-79,1051084,104
1984,80-84,445674,68
1984,85-89,128976,31
1984,90-94,24255,8
1984,95-99,2775,0
1985,0-4,22919635,508
1985,10-14,19875811,25
1985,100+,227,0
1985,15-19,18214098,34
1985,20-24,15810355,38
1985,25-29,13146217,32
1985,30-34,10331065,30
1985,35-39,8423547,31
1985,40-44,7969617,39
1985,45-49,7379561,49
1985,5-9,21384709,39
1985,50-54,6279765,61
1985,55-59,5033412,74
1985,60-64,3679083,86
1985,65-69,2679383,101
1985,70-74,1917264,117
1985,75-79,1096610,109
1985,80-84,470275,72
1985,85-89,136697,32
1985,90-94,25909,9
1985,95-99,2951,1
1986,0-4,22822756,480
1986,10-14,20137260,25
1986,100+,237,0
1986,15-19,18573156,34
1986,20-24,16288232,39
1986,25-29,13675261,33
1986,30-34,10864486,30
1986,35-39,8590596,31
1986,40-44,8027896,38
1986,45-49,7491230,50
1986,5-9,21656442,39
1986,50-54,6460203,64
1986,55-59,5222665,76
1986,60-64,3847846,90
1986,65-69,2747686,102
1986,70-74,1956257,121
1986,75-79,1142517,112
1986,80-84,494415,74
1986,85-89,145140,33
1986,90-94,27654,9
1986,95-99,3134,1
1987,0-4,22649299,458
1987,10-14,20394984,25
1987,100+,245,0
1987,15-19,18895053,34
1987,20-24,16757525,39
1987,25-29,14192894,34
1987,30-34,11400862,30
1987,35-39,8846419,31
1987,40-44,8086956,38
1987,45-49,7579710,50
1987,5-9,21923311,39
1987,50-54,6637481,66
1987,55-59,5402336,79
1987,60-64,4029755,94
1987,65-69,2830475,104
1987,70-74,1991257,122
1987,75-79,1186763,116
1987,80-84,518770,78
1987,85-89,154321,34
1987,90-94,29420,9
1987,95-99,3325,1
1988,0-4,22478269,439
1988,10-14,20656555,24
1988,100+,253,0
1988,15-19,19209353,35
1988,20-24,17206741,40
1988,25-29,14694329,35
1988,30-34,11938352,32
1988,35-39,9198373,31
1988,40-44,8143233,38
1988,45-49,7649290,51
1988,5-9,22156159,37
1988,50-54,6805427,66
1988,55-59,5575474,82
1988,60-64,4218180,98
1988,65-69,2928725,109
1988,70-74,2026067,123
1988,75-79,1227733,120
1988,80-84,543731,82
1988,85-89,164087,37
1988,90-94,31205,10
1988,95-99,3533,1
1989,0-4,22325103,419
1989,10-14,20950888,22
1989,100+,262,0
1989,15-19,19489078,34
1989,20-24,17639717,39
1989,25-29,15178690,35
1989,30-34,12473884,32
1989,35-39,9661670,30
1989,40-44,8186550,37
1989,45-49,7705763,50
1989,5-9,22324797,35
1989,50-54,6958324,67
1989,55-59,5746070,82
1989,60-64,4407036,101
1989,65-69,3043739,112
1989,70-74,2064907,125
1989,75-79,1264852,123
1989,80-84,569241,85
1989,85-89,174219,40
1989,90-94,33083,11
1989,95-99,3762,1
1990,0-4,22204566,398
1990,10-14,21251312,22
1990,100+,272,0
1990,15-19,19741361,34
1990,20-24,18044024,40
1990,25-29,15651938,35
1990,30-34,13003310,35
1990,35-39,10189083,35
1990,40-44,8264402,37
1990,45-49,7756451,50
1990,5-9,22391067,34
1990,50-54,7090828,68
1990,55-59,5917303,86
1990,60-64,4590696,104
1990,65-69,3176275,115
1990,70-74,2111519,126
1990,75-79,1297713,124
1990,80-84,595425,90
1990,85-89,184411,41
1990,90-94,35142,11
1990,95-99,4007,1
1991,0-4,22186191,382
1991,10-14,21525595,22
1991,100+,281,0
1991,15-19,20002578,33
1991,20-24,18398633,40
1991,25-29,16123041,35
1991,30-34,13525007,35
1991,35-39,10714584,35
1991,40-44,8429185,37
1991,45-49,7814734,49
1991,5-9,22324960,31
1991,50-54,7200015,68
1991,55-59,6089548,86
1991,60-64,4765730,108
1991,65-69,3324970,120
1991,70-74,2168500,128
1991,75-79,1326584,127
1991,80-84,621906,92
1991,85-89,194519,43
1991,90-94,37422,12
1991,95-99,4260,1
1992,0-4,22211011,362
1992,10-14,21795259,21
1992,100+,290,0
1992,15-19,20260376,32
1992,20-24,18716931,39
1992,25-29,16586232,35
1992,30-34,14036066,35
1992,35-39,11243707,35
1992,40-44,8681686,36
1992,45-49,7874369,49
1992,5-9,22182461,31
1992,50-54,7287771,67
1992,55-59,6259734,87
1992,60-64,4933173,110
1992,65-69,3486099,123
1992,70-74,2237760,132
1992,75-79,1353590,128
1992,80-84,647865,95
1992,85-89,204917,46
1992,90-94,39934,12
1992,95-99,4519,2
1993,0-4,22206591,345
1993,10-14,22031810,21
1993,100+,302,0
1993,15-19,20523288,31
1993,20-24,19029438,35
1993,25-29,17031207,33
1993,30-34,14532652,32
1993,35-39,11775478,35
1993,40-44,9029822,36
1993,45-49,7932578,47
1993,5-9,22039556,27
1993,50-54,7359020,65
1993,55-59,6422992,86
1993,60-64,5096801,110
1993,65-69,3654831,127
1993,70-74,2320914,134
1993,75-79,1381850,129
1993,80-84,672755,99
1993,85-89,215855,48
1993,90-94,42646,13
1993,95-99,4786,2
1994,0-4,22220532,331
1994,10-14,22204743,21
1994,100+,316,0
1994,15-19,20819417,31
1994,20-24,19308839,35
1994,25-29,17461178,35
1994,30-34,15013208,35
1994,35-39,12306094,35
1994,40-44,9487703,40
1994,45-49,7978347,47
1994,5-9,21912742,27
1994,50-54,7418028,66
1994,55-59,6572474,90
1994,60-64,5258735,115
1994,65-69,3824557,133
1994,70-74,2418009,140
1994,75-79,1413403,133
1994,80-84,695790,102
1994,85-89,227161,50
1994,90-94,45479,15
1994,95-99,5080,2
1995,0-4,22302477,316
1995,10-14,22275428,21
1995,100+,335,0
1995,15-19,21121141,31
1995,20-24,19561185,37
1995,25-29,17863207,35
1995,30-34,15482964,35
1995,35-39,12830602,38
1995,40-44,10008162,40
1995,45-49,8057026,48
1995,5-9,21817691,27
1995,50-54,7470324,67
1995,55-59,6701378,90
1995,60-64,5420006,120
1995,65-69,3988784,138
1995,70-74,2528484,145
1995,75-79,1449959,134
1995,80-84,716364,104
1995,85-89,238768,53
1995,90-94,48358,15
1995,95-99,5419,2
1996,0-4,22436997,304
1996,10-14,22214168,20
1996,100+,358,0
1996,15-19,21396605,32
1996,20-24,19822679,39
1996,25-29,18216863,35
1996,30-34,15951246,35
1996,35-39,13347745,40
1996,40-44,10526759,44
1996,45-49,8220271,49
1996,5-9,21822008,26
1996,50-54,7529084,69
1996,55-59,6807157,95
1996,60-64,5581002,120
1996,65-69,4144619,144
1996,70-74,2651263,153
1996,75-79,1493291,139
1996,80-84,734679,108
1996,85-89,250498,55
1996,90-94,51258,15
1996,95-99,5803,2
1997,0-4,22611802,291
1997,10-14,22076447,19
1997,100+,380,0
1997,15-19,21667182,31
1997,20-24,20080524,38
1997,25-29,18534644,35
1997,30-34,16411779,36
1997,35-39,13854277,40
1997,40-44,11048633,45
1997,45-49,8468648,50
1997,5-9,21867751,26
1997,50-54,7588222,70
1997,55-59,6891666,95
1997,60-64,5738888,125
1997,65-69,4292981,149
1997,70-74,2783246,159
1997,75-79,1544683,143
1997,80-84,751895,108
1997,85-89,261969,57
1997,90-94,54261,17
1997,95-99,6222,2
1998,0-4,22779929,276
1998,10-14,21937194,17
1998,100+,403,0
1998,15-19,21903725,33
1998,20-24,20341472,39
1998,25-29,18844595,35
1998,30-34,16852411,39
1998,35-39,14344803,43
1998,40-44,11571488,48
1998,45-49,8808740,53
1998,5-9,21883330,23
1998,50-54,7644153,70
1998,55-59,6958685,97
1998,60-64,5888251,129
1998,65-69,4436290,155
1998,70-74,2919816,165
1998,75-79,1604925,148
1998,80-84,769602,109
1998,85-89,272900,60
1998,90-94,57412,17
1998,95-99,6669,2
1999,0-4,22851302,260
1999,10-14,21812776,17
1999,100+,426,0
1999,15-19,22074887,33
1999,20-24,20631518,40
1999,25-29,19117671,40
1999,30-34,17274704,40
1999,35-39,14816602,45
1999,40-44,12090735,51
1999,45-49,9253493,57
1999,5-9,21914481,23
1999,50-54,7685855,70
1999,55-59,7011984,98
1999,60-64,6022612,133
1999,65-69,4576167,160
1999,70-74,3055576,174
1999,75-79,1674120,153
1999,80-84,788960,113
1999,85-89,283015,62
1999,90-94,60663,19
1999,95-99,7125,3
2000,0-4,22827685,246
2000,10-14,21719717,17
2000,100+,447,0
2000,15-19,22143047,33
2000,20-24,20924265,40
2000,25-29,19360886,40
2000,30-34,17666981,40
2000,35-39,15276155,46
2000,40-44,12602934,52
2000,45-49,9758364,59
2000,5-9,22011073,22
2000,50-54,7759018,71
2000,55-59,7058783,99
2000,60-64,6137986,135
2000,65-69,4715468,165
2000,70-74,3187013,180
2000,75-79,1752884,160
2000,80-84,811318,115
2000,85-89,292199,63
2000,90-94,63995,21
2000,95-99,7577,3
2001,0-4,22740221,233
2001,10-14,21725407,17
2001,100+,466,0
2001,15-19,22079205,33
2001,20-24,21188775,40
2001,25-29,19610523,40
2001,30-34,18009449,41
2001,35-39,15733213,47
2001,40-44,13107487,53
2001,45-49,10261432,62
2001,5-9,22158036,22
2001,50-54,7914534,71
2001,55-59,7112525,98
2001,60-64,6233240,136
2001,65-69,4855558,169
2001,70-74,3312858,186
2001,75-79,1841024,166
2001,80-84,837901,119
2001,85-89,300650,65
2001,90-94,67373,21
2001,95-99,8029,3
2002,0-4,22617021,223
2002,10-14,21772047,16
2002,100+,487,0
2002,15-19,21938679,31
2002,20-24,21446103,40
2002,25-29,19853508,36
2002,30-34,18314079,40
2002,35-39,16181256,47
2002,40-44,13600994,55
2002,45-49,10767572,63
2002,5-9,22343980,21
2002,50-54,8152508,73
2002,55-59,7167244,97
2002,60-64,6310170,136
2002,65-69,4994078,170
2002,70-74,3434211,190
2002,75-79,1936622,173
