year,age,population,deaths
2002,80-84,869683,121
2002,85-89,309008,66
2002,90-94,70753,21
2002,95-99,8499,3
2003,0-4,22509091,214
2003,10-14,21788426,16
2003,100+,509,0
2003,15-19,21796619,31
2003,20-24,21668558,40
2003,25-29,20097665,38
2003,30-34,18609376,41
2003,35-39,16608687,48
2003,40-44,14078381,57
2003,45-49,11274645,67
2003,5-9,22523046,21
2003,50-54,8479004,76
2003,55-59,7219244,98
2003,60-64,6371942,137
2003,65-69,5125980,174
2003,70-74,3552710,196
2003,75-79,2036193,181
2003,80-84,907027,126
2003,85-89,317868,67
2003,90-94,74041,22
2003,95-99,9001,4
2004,0-4,22479480,235
2004,10-14,21814785,27
2004,100+,531,0
2004,15-19,21666402,40
2004,20-24,21824974,50
2004,25-29,20369344,49
2004,30-34,18865866,51
2004,35-39,17015017,58
2004,40-44,14534241,68
2004,45-49,11775142,79
2004,5-9,22597287,37
2004,50-54,8903179,88
2004,55-59,7254915,107
2004,60-64,6418702,146
2004,65-69,5242460,184
2004,70-74,3666664,207
2004,75-79,2134840,191
2004,80-84,949223,133
2004,85-89,327151,71
2004,90-94,76948,24
2004,95-99,9503,4
2005,0-4,22593403,199
2005,10-14,21906471,16
2005,100+,563,0
2005,15-19,21569777,29
2005,20-24,21884362,40
2005,25-29,20649029,40
2005,30-34,19096968,41
2005,35-39,17394646,50
2005,40-44,14980189,59
2005,45-49,12270319,73
2005,5-9,22576436,19
2005,50-54,9386154,83
2005,55-59,7321443,100
2005,60-64,6460510,138
2005,65-69,5343391,181
2005,70-74,3781201,206
2005,75-79,2231263,196
2005,80-84,997684,137
2005,85-89,338061,72
2005,90-94,79726,24
2005,95-99,10062,4
2006,0-4,22819644,195
2006,10-14,22053696,16
2006,100+,606,0
2006,15-19,21576888,29
2006,20-24,21820363,39
2006,25-29,20908794,40
2006,30-34,19342016,42
2006,35-39,17731788,50
2006,40-44,15429468,61
2006,45-49,12762993,76
2006,5-9,22499354,19
2006,50-54,9871613,88
2006,55-59,7470172,102
2006,60-64,6512311,138
2006,65-69,5430139,183
2006,70-74,3899397,211
2006,75-79,2325071,202
2006,80-84,1052668,145
2006,85-89,351410,74
2006,90-94,82577,26
2006,95-99,10689,4
2007,0-4,23101504,187
2007,10-14,22239696,16
2007,100+,653,0
2007,15-19,21624929,29
2007,20-24,21682678,38
2007,25-29,21164922,40
2007,30-34,19583467,42
2007,35-39,18033578,51
2007,40-44,15871012,63
2007,45-49,13245418,78
2007,5-9,22385606,18
2007,50-54,10360184,91
2007,55-59,7696961,104
2007,60-64,6564423,139
2007,65-69,5500424,184
2007,70-74,4015815,216
2007,75-79,2415605,209
2007,80-84,1111810,150
2007,85-89,366920,76
2007,90-94,85419,26
2007,95-99,11319,5
2008,0-4,23393805,180
2008,10-14,22419200,16
2008,100+,706,0
2008,15-19,21642844,29
2008,20-24,21544831,37
2008,25-29,21389081,40
2008,30-34,19828581,42
2008,35-39,18327967,51
2008,40-44,16293379,64
2008,45-49,13712748,80
2008,5-9,22286407,18
2008,50-54,10849982,96
2008,55-59,8007474,109
2008,60-64,6613664,140
2008,65-69,5557459,185
2008,70-74,4126718,220
2008,75-79,2504465,214
2008,80-84,1173267,158
2008,85-89,384929,80
2008,90-94,88466,27
2008,95-99,11937,5
2009,0-4,23652191,175
2009,10-14,22503225,16
2009,100+,762,0
2009,15-19,21676585,28
2009,20-24,21423644,35
2009,25-29,21552522,40
2009,30-34,20105580,42
2009,35-39,18588978,51
2009,40-44,16700015,65
2009,45-49,14163936,83
2009,5-9,22277172,17
2009,50-54,11338010,100
2009,55-59,8413877,113
2009,60-64,6651048,139
2009,65-69,5605162,185
2009,70-74,4228473,224
2009,75-79,2593349,221
2009,80-84,1235347,164
2009,85-89,405720,82
2009,90-94,91895,28
2009,95-99,12542,5
2010,0-4,23871480,168
2010,10-14,22492991,15
2010,100+,826,0
2010,15-19,21776287,29
2010,20-24,21336382,35
2010,25-29,21619667,40
2010,30-34,20389971,43
2010,35-39,18824399,54
2010,40-44,17079991,67
2010,45-49,14605208,86
2010,5-9,22410399,17
2010,50-54,11820766,105
2010,55-59,8875478,121
2010,60-64,6716801,141
2010,65-69,5648545,185
2010,70-74,4317753,228
2010,75-79,2683328,227
2010,80-84,1296579,172
2010,85-89,429473,87
2010,90-94,95854,28
2010,95-99,13149,5
2011,0-4,24101187,165
2011,10-14,22418936,13
2011,100+,899,0
2011,15-19,21927402,28
2011,20-24,21350049,35
2011,25-29,21562674,38
2011,30-34,20652216,43
2011,35-39,19070313,53
2011,40-44,17414456,67
2011,45-49,15046020,87
2011,5-9,22643708,16
2011,50-54,12297534,108
2011,55-59,9336427,125
2011,60-64,6856159,144
2011,65-69,5697950,186
2011,70-74,4393304,229
2011,75-79,2774389,232
2011,80-84,1356250,178
2011,85-89,455974,92
2011,90-94,100432,29
2011,95-99,13759,5
2012,0-4,24342409,158
2012,10-14,22308661,12
2012,100+,978,1
2012,15-19,22118399,28
2012,20-24,21407273,35
2012,25-29,21435979,37
2012,30-34,20913691,42
2012,35-39,19314889,52
2012,40-44,17715959,67
2012,45-49,15480827,90
2012,5-9,22933066,16
2012,50-54,12765786,110
2012,55-59,9801579,130
2012,60-64,7068773,146
2012,65-69,5748515,185
2012,70-74,4456840,231
2012,75-79,2865139,238
2012,80-84,1414985,184
2012,85-89,484646,98
2012,90-94,105743,31
2012,95-99,14393,6
2013,0-4,24512291,151
2013,10-14,22212759,12
2013,100+,1058,1
2013,15-19,22302660,28
2013,20-24,21435806,35
2013,25-29,21311261,36
2013,30-34,21145618,42
2013,35-39,19564830,51
2013,40-44,18011579,68
2013,45-49,15898036,90
2013,5-9,23233096,15
2013,50-54,13220560,115
2013,55-59,10268907,134
2013,60-64,7359134,150
2013,65-69,5796858,185
2013,70-74,4510525,232
2013,75-79,2952517,243
2013,80-84,1473502,190
2013,85-89,514553,102
2013,90-94,111850,32
2013,95-99,15071,6
2014,0-4,24582287,143
2014,10-14,22206565,12
2014,100+,1136,1
2014,15-19,22391020,28
2014,20-24,21479517,35
2014,25-29,21203303,36
2014,30-34,21318118,42
2014,35-39,19847098,51
2014,40-44,18275201,67
2014,45-49,16300757,90
2014,5-9,23499581,15
2014,50-54,13660759,115
2014,55-59,10735597,140
2014,60-64,7737934,156
2014,65-69,5834717,185
2014,70-74,4557450,231
2014,75-79,3033959,246
2014,80-84,1532751,196
2014,85-89,544985,107
2014,90-94,118857,34
2014,95-99,15812,6
2015,0-4,24527207,137
2015,10-14,22342338,12
2015,100+,1210,1
2015,15-19,22384640,27
2015,20-24,21586897,35
2015,25-29,21127242,35
2015,30-34,21394169,42
2015,35-39,20136311,51
2015,40-44,18513896,68
2015,45-49,16678158,92
2015,5-9,23726358,14
2015,50-54,14092582,120
2015,55-59,11198714,145
2015,60-64,8168509,164
2015,65-69,5898881,186
2015,70-74,4602079,230
2015,75-79,3107560,250
2015,80-84,1593550,202
2015,85-89,575456,112
2015,90-94,126851,37
2015,95-99,16644,7
2016,0-4,24310677,127
2016,10-14,22577571,12
2016,100+,1280,1
2016,15-19,22313885,26
2016,20-24,21742861,35
2016,25-29,21148195,35
2016,30-34,21344745,41
2016,35-39,20402127,51
2016,40-44,18762213,67
2016,45-49,17011031,93
2016,5-9,23962141,14
2016,50-54,14524504,121
2016,55-59,11656986,150
2016,60-64,8599699,171
2016,65-69,6029977,189
2016,70-74,4652535,230
2016,75-79,3172233,253
2016,80-84,1655707,208
2016,85-89,605692,118
2016,90-94,135773,39
2016,95-99,17590,7
2017,0-4,23939434,121
2017,10-14,22868297,11
2017,100+,1350,1
2017,15-19,22206472,25
2017,20-24,21936213,33
2017,25-29,21209271,34
2017,30-34,21223564,39
2017,35-39,20665281,51
2017,40-44,19007959,67
2017,45-49,17310993,93
2017,5-9,24208311,14
2017,50-54,14950331,124
2017,55-59,12107214,154
2017,60-64,9035078,178
2017,65-69,6226309,191
2017,70-74,4703729,231
2017,75-79,3228715,254
2017,80-84,1718070,213
2017,85-89,635946,124
2017,90-94,145448,41
2017,95-99,18679,8
2018,0-4,23539131,117
2018,10-14,23169340,12
2018,100+,1425,1
2018,15-19,22112987,25
2018,20-24,22121716,34
2018,25-29,21240336,34
2018,30-34,21102956,39
2018,35-39,20898188,52
2018,40-44,19258337,68
2018,45-49,17604784,95
2018,5-9,24383187,14
2018,50-54,15358859,126
2018,55-59,12544714,158
2018,60-64,9472782,184
2018,65-69,6491331,198
2018,70-74,4752570,232
2018,75-79,3278461,257
2018,80-84,1778710,219
2018,85-89,666523,130
2018,90-94,155586,43
2018,95-99,19929,8
2019,0-4,23202327,110
2019,10-14,23436868,11
2019,100+,1507,1
2019,15-19,22108748,24
2019,20-24,22211785,31
2019,25-29,21286254,32
2019,30-34,20998772,37
2019,35-39,21072223,51
2019,40-44,19540539,67
2019,45-49,17867357,94
2019,5-9,24458610,13
2019,50-54,15753592,127
2019,55-59,12968884,161
2019,60-64,9910640,190
2019,65-69,6834219,205
2019,70-74,4792058,229
2019,75-79,3323704,256
2019,80-84,1836121,225
2019,85-89,697832,133
2019,90-94,165984,48
2019,95-99,21362,8
2020,0-4,22922408,106
2020,10-14,23665014,11
2020,100+,1423,1
2020,15-19,22246662,23
2020,20-24,22209019,30
2020,25-29,21396635,31
2020,30-34,20926640,39
2020,35-39,21149721,54
2020,40-44,19826125,75
2020,45-49,18098789,110
2020,5-9,24409414,12
2020,50-54,16112621,154
2020,55-59,13368803,200
2020,60-64,10323511,243
2020,65-69,7198219,264
2020,70-74,4829951,280
2020,75-79,3346414,299
2020,80-84,1874603,259
2020,85-89,717081,164
2020,90-94,170313,61
2020,95-99,21504,11
2021,0-4,22679920,100
2021,10-14,23902277,11
2021,100+,1172,1
2021,15-19,22484553,23
2021,20-24,22144039,30
2021,25-29,21555193,36
2021,30-34,20948729,44
2021,35-39,21098220,60
2021,40-44,20079632,89
2021,45-49,18324262,130
2021,5-9,24199100,12
2021,50-54,16405255,181
2021,55-59,13737593,236
2021,60-64,10692443,288
2021,65-69,7517085,318
2021,70-74,4877929,330
2021,75-79,3327921,347
2021,80-84,1873824,296
2021,85-89,720922,172
2021,90-94,167783,61
2021,95-99,20207,11
2022,0-4,22488311,96
2022,10-14,24149562,11
2022,100+,1117,1
2022,15-19,22776321,23
2022,20-24,22040795,30
2022,25-29,21749592,30
2022,30-34,21010310,37
2022,35-39,20977657,48
2022,40-44,20335480,67
2022,45-49,18556556,95
2022,5-9,23833943,11
2022,50-54,16680769,131
2022,55-59,14121212,171
2022,60-64,11080771,208
2022,65-69,7868392,230
2022,70-74,5007776,233
2022,75-79,3333986,249
2022,80-84,1884437,226
2022,85-89,740375,137
2022,90-94,172480,48
2022,95-99,20692,7
2023,0-4,22348675,93
2023,10-14,24325686,11
2023,100+,1265,1
2023,15-19,23076927,23
2023,20-24,21949058,30
2023,25-29,21936321,30
2023,30-34,21044269,36
2023,35-39,20863350,47
2023,40-44,20572115,67
2023,45-49,18811452,95
2023,5-9,23439368,11
2023,50-54,16977149,132
2023,55-59,14523846,173
2023,60-64,11502058,212
2023,65-69,8272860,238
2023,70-74,5245191,240
2023,75-79,3387201,250
2023,80-84,1927361,228
2023,85-89,777528,143
2023,90-94,185325,51
2023,95-99,23068,10
