Time,AgeStart,Age,Deaths,Population
1956,75,75-79,26094,231896
1956,80,80-84,14291,84754.5
1956,85,85-89,5395,22315.5
1956,90,90-94,1406,4317.5
1956,95,95-99,324,775
1956,100,100,79,148.5
1957,0,0-4,843975,13240771.5
1957,5,5-9,63359,9709992.5
1957,10,10-14,34073,9037246.5
1957,15,15-19,43291,8717931
1957,20,20-24,53055,7929576
1957,25,25-29,48236,6838908
1957,30,30-34,43200,5588743.5
1957,35,35-39,40240,4540903.5
1957,40,40-44,42293,4046148
1957,45,45-49,43607,3536388.5
1957,50,50-54,45349,2820762.5
1957,55,55-59,44594,2094420
1957,60,60-64,46575,1466412
1957,65,65-69,43667,932043.5
1957,70,70-74,38747,524031.50000000000
1957,75,75-79,27668,246462.5
1957,80,80-84,15262,90683
1957,85,85-89,5759,23840.5
1957,90,90-94,1497,4597
1957,95,95-99,342,816.5
1957,100,100,83,156.5
1958,0,0-4,846543,13794562
1958,5,5-9,63387,10061761
1958,10,10-14,33065,9063634.5
1958,15,15-19,43432,8766045
1958,20,20-24,55375,8100604.5
1958,25,25-29,50540,7026387.5
1958,30,30-34,45540,5820630
1958,35,35-39,41612,4668435
1958,40,40-44,42807,4083770
1958,45,45-49,44881,3625600.5
1958,50,50-54,46970,2919472
1958,55,55-59,46830,2195006
1958,60,60-64,48818,1537165.5
1958,65,65-69,46064,983871.5
1958,70,70-74,41041,555703.5
1958,75,75-79,29367,261804.50000000000
1958,80,80-84,16312.000000000000,96913
1958,85,85-89,6165,25487
1958,90,90-94,1596,4889.5
1958,95,95-99,361,857.5
1958,100,100,87,162.5
1959,0,0-4,848330,14346022.5
1959,5,5-9,63847,10537930
1959,10,10-14,31934,9075491
1959,15,15-19,41778,8799145
1959,20,20-24,53335,8253373.5
1959,25,25-29,49032,7209993
1959,30,30-34,45047,6051646
1959,35,35-39,41213,4821688
1959,40,40-44,41819,4128510
1959,45,45-49,44671,3701940
1959,50,50-54,47616,3018145.5
1959,55,55-59,48344,2297860.5
1959,60,60-64,50605,1608992.5
1959,65,65-69,48242,1038181
1959,70,70-74,43251,588930
1959,75,75-79,31080,278056
1959,80,80-84,17361,103431
1959,85,85-89,6581,27268
1959,90,90-94,1695,5198.5
1959,95,95-99,378,898
1959,100,100,90,169
1960,0,0-4,849519,14890631
1960,5,5-9,64526.00000000000,11086361.5
1960,10,10-14,31032,9126142.5
1960,15,15-19,40703,8825773.5
1960,20,20-24,52555,8382528
1960,25,25-29,48766,7395201
1960,30,30-34,45368,6274455
1960,35,35-39,41656,5001557
1960,40,40-44,41508,4188272.5
1960,45,45-49,44714,3764149
1960,50,50-54,48599,3118734
1960,55,55-59,50028,2398118.5
1960,60,60-64,52602,1683650.5
1960,65,65-69,50642,1095365
1960,70,70-74,45631,623702
1960,75,75-79,32935,295345
1960,80,80-84,18478,110245.5
1960,85,85-89,7042,29191.5
1960,90,90-94,1804,5529.5
1960,95,95-99,397,941
1960,100,100,94,176.5
1961,0,0-4,849091,15426735.5
1961,5,5-9,65416,11633950
1961,10,10-14,30664,9273945.5
1961,15,15-19,39977,8860529.5
1961,20,20-24,52005,8483855.5
1961,25,25-29,48882,7582163
1961,30,30-34,45901,6483854.5
1961,35,35-39,42553,5205230.5
1961,40,40-44,41658,4268200.5
1961,45,45-49,44833,3812838
1961,50,50-54,49819,3220131
1961,55,55-59,51771,2493061
1961,60,60-64,54866,1762783.5
1961,65,65-69,53258,1154671.5
1961,70,70-74,48189,659942
1961,75,75-79,34943,313697
1961,80,80-84,19658,117361
1961,85,85-89,7538,31250
1961,90,90-94,1920,5881
1961,95,95-99,417,987.5
1961,100,100,97,181
1962,0,0-4,846306,15951467
1962,5,5-9,65706,12186610
1962,10,10-14,30306,9519560
1962,15,15-19,38380,8895982.5
1962,20,20-24,49468,8560131.5
1962,25,25-29,47227,7767341.5
1962,30,30-34,44906,6681499.5
1962,35,35-39,42457,5426647.5
1962,40,40-44,41160,4371388.5
1962,45,45-49,44089,3853504.5
1962,50,50-54,50295,3316580
1962,55,55-59,52864,2585857.5
1962,60,60-64,56841,1848014.5
1962,65,65-69,55559,1214504
1962,70,70-74,50614,697814.5
1962,75,75-79,36946,333171
1962,80,80-84,20834,124848.5
1962,85,85-89,8045,33443
1962,90,90-94,2040,6263
1962,95,95-99,437,1036
1962,100,100,100,185.5
1963,0,0-4,843141,16462918.5
1963,5,5-9,66045,12742116
1963,10,10-14,30392,9871285.5
1963,15,15-19,37383,8928364
1963,20,20-24,48205,8616852
1963,25,25-29,46740,7943935.5
1963,30,30-34,44775,6872110
1963,35,35-39,43068,5657337.5
1963,40,40-44,41401,4499217.5
1963,45,45-49,43794,3893892
1963,50,50-54,50973,3403540
1963,55,55-59,54229,2679006
1963,60,60-64,59175,1938640
1963,65,65-69,58024,1274367
1963,70,70-74,53269,737551.5
1963,75,75-79,39128,353787
1963,80,80-84,22119,132784.5
1963,85,85-89,8602,35759.5
1963,90,90-94,2178,6679
1963,95,95-99,459,1088
1963,100,100,104,193
1964,0,0-4,837164,16962281
1964,5,5-9,65643,13297158
1964,10,10-14,30443,10346115
1964,15,15-19,36052,8948167
1964,20,20-24,46569,8662447.5
1964,25,25-29,45819,8107015
1964,30,30-34,44279,7062376
1964,35,35-39,43336,5889763.5
1964,40,40-44,41582,4653367
1964,45,45-49,43315,3942146
1964,50,50-54,51173,3479392.5
1964,55,55-59,55283,2772879
1964,60,60-64,61263,2031867.5
1964,65,65-69,60243,1335581
1964,70,70-74,55803,779514
1964,75,75-79,41264,375607.5
1964,80,80-84,23392,141302.5
1964,85,85-89,9149,38235.5
1964,90,90-94,2316,7160.5
1964,95,95-99,482,1168
1964,100,100,107,204.5
1965,0,0-4,966634,17381542.5
1965,5,5-9,98447,13826573.5
1965,10,10-14,44537,10883121.5
1965,15,15-19,59603,8984875
1965,20,20-24,89290,8662952
1965,25,25-29,88924,8208675.000000000
1965,30,30-34,78540,7224616.5
1965,35,35-39,73285,6091463.5
1965,40,40-44,66516,4815587.5
1965,45,45-49,65471,3990119
1965,50,50-54,73284,3528996
1965,55,55-59,77903,2856519
1965,60,60-64,83270,2112137.5
1965,65,65-69,80116,1390052
1965,70,70-74,71659,816601.5
1965,75,75-79,49483,395072.5
1965,80,80-84,28648,148207.5
1965,85,85-89,11645,39622.5
1965,90,90-94,3078,7183
1965,95,95-99,654,1035
1965,100,100,135,178
1966,0,0-4,840874,17770191
1966,5,5-9,79669,14334570
1966,10,10-14,42874,11410617.5
1966,15,15-19,44176,9103470
1966,20,20-24,54702,8646316
1966,25,25-29,56093,8256019
1966,30,30-34,54983,7366345.5
1966,35,35-39,54460,6264096
1966,40,40-44,50641,4989500
1966,45,45-49,49365,4049650.5
1966,50,50-54,56561,3560594.5
1966,55,55-59,62014,2936950.5
1966,60,60-64,68316,2185199.5
1966,65,65-69,67035,1446642.5
1966,70,70-74,62340,853880.5
1966,75,75-79,46179,414565.5
1966,80,80-84,26190,155325
1966,85,85-89,10085,40863.5
1966,90,90-94,2422,7060.5
1966,95,95-99,393,779
1966,100,100,79,117
1967,0,0-4,806949,18201254
1967,5,5-9,64003,14844826.5
1967,10,10-14,31137,11949648
1967,15,15-19,33651,9334010.5
1967,20,20-24,41702,8653663.5
1967,25,25-29,41973,8297875.5
1967,30,30-34,42432,7519791.5
1967,35,35-39,43213,6437813.5
1967,40,40-44,42971,5190850.5
1967,45,45-49,42976,4141380.5
1967,50,50-54,50670,3595163
1967,55,55-59,58416,3023352.5
1967,60,60-64,66627,2266463
1967,65,65-69,67235,1517244.5
1967,70,70-74,63462,898333.5
1967,75,75-79,47785,438019
1967,80,80-84,27227,165181
1967,85,85-89,10420,43383
1967,90,90-94,2444,7384
1967,95,95-99,328,682.5
1967,100,100,47,73
1968,0,0-4,793849,18622380.5
1968,5,5-9,63349,15346641.5
1968,10,10-14,31347,12498510.5
1968,15,15-19,33773,9684078.5
1968,20,20-24,40541,8679247
1968,25,25-29,40824,8337777.5
1968,30,30-34,41966,7677171.5
1968,35,35-39,43153,6614450
1968,40,40-44,43706,5407817
1968,45,45-49,43437,4261356
1968,50,50-54,50490,3633306
1968,55,55-59,59411,3104197
1968,60,60-64,68479,2350444.5
1968,65,65-69,70209,1593986
1968,70,70-74,66419,944191
1968,75,75-79,50344,463298
1968,80,80-84,28924,176033
1968,85,85-89,11101,46382
1968,90,90-94,2588,7937
1968,95,95-99,311,746.5
1968,100,100,29,55
1969,0,0-4,779455,19030871.5
1969,5,5-9,62043,15832467
1969,10,10-14,31266,13047265
1969,15,15-19,33939,10164303
1969,20,20-24,38801,8709005.5
1969,25,25-29,39048,8379009.5
1969,30,30-34,40887,7828461.5
1969,35,35-39,42568,6794924.5
1969,40,40-44,43959,5629330.5
1969,45,45-49,43726,4408103
1969,50,50-54,50042,3679975
1969,55,55-59,59838,3175761
1969,60,60-64,70005,2435812.5
1969,65,65-69,73006,1673410
1969,70,70-74,69299,991617.5
1969,75,75-79,53051,490344.5
1969,80,80-84,30729,187567
1969,85,85-89,11887,49755
1969,90,90-94,2819,8661
1969,95,95-99,386,928.5
1969,100,100,33,66
1970,0,0-4,763338,19411223.5
1970,5,5-9,60756,16308161.5
1970,10,10-14,31118,13589646.5
1970,15,15-19,34341,10714587
1970,20,20-24,37488,8780456.5
1970,25,25-29,37508,8417970
1970,30,30-34,39857,7959169.5
1970,35,35-39,42100,6977410
1970,40,40-44,44221,5844266
1970,45,45-49,44317,4579697.5
1970,50,50-54,49852,3740297.5
1970,55,55-59,60070,3235641.5
1970,60,60-64,71577,2523162.5
1970,65,65-69,75677,1751535.5
1970,70,70-74,72211,1041494.5
1970,75,75-79,55833,519233.50000000000
1970,80,80-84,32553.000000000000,199588
1970,85,85-89,12715,53366
1970,90,90-94,3061,9406
1970,95,95-99,461,1090.5
1970,100,100,46,91
1971,0,0-4,745908,19739545.5
1971,5,5-9,59930,16783155
1971,10,10-14,31175,14123929.5
1971,15,15-19,34970,11262060.5
1971,20,20-24,36944,8946362
1971,25,25-29,36432,8466621.5
1971,30,30-34,39076,8064155.5
1971,35,35-39,41963,7161177.5
1971,40,40-44,44649,6047337.5
1971,45,45-49,45333,4773395.5
1971,50,50-54,50155,3818717.5
1971,55,55-59,60350,3284206.5
1971,60,60-64,73464,2611410.5
1971,65,65-69,78413,1826428
1971,70,70-74,75494,1094822
1971,75,75-79,58877,549610.5
1971,80,80-84,34506,212083.5
1971,85,85-89,13617,57194
1971,90,90-94,3310,10153.5
1971,95,95-99,523,1221
1971,100,100,61,115.5
1972,0,0-4,728641,20029218
1972,5,5-9,59166,17250356.5
1972,10,10-14,31256,14646457.5
1972,15,15-19,35632,11811702
1972,20,20-24,36857,9205898.5
1972,25,25-29,35496,8517053.5
1972,30,30-34,38285,8144637
1972,35,35-39,41876,7341731
1972,40,40-44,45019,6239060.5
1972,45,45-49,46495,4983072
1972,50,50-54,50746,3917582
1972,55,55-59,60500,3325707.5
1972,60,60-64,75242,2695671
1972,65,65-69,81037,1900207.5
1972,70,70-74,79003,1152287
1972,75,75-79,61957,580485
1972,80,80-84,36519,225110.5
1972,85,85-89,14562,61225.5
1972,90,90-94,3562,10911.5
1972,95,95-99,576,1332
1972,100,100,73,135
1973,0,0-4,711845,20312504.5
1973,5,5-9,58194,17697500
1973,10,10-14,31190,15152176
1973,15,15-19,36218,12361207.5
1973,20,20-24,37142,9565806.5
1973,25,25-29,34586,8564927.5
1973,30,30-34,37412,8205058.000000000
1973,35,35-39,41715,7512127.5
1973,40,40-44,45293,6423081
1973,45,45-49,47677,5200622.5
1973,50,50-54,51601,4037948.5
1973,55,55-59,60631,3366565
1973,60,60-64,76793,2772134
1973,65,65-69,83624,1974533.5
1973,70,70-74,82724,1213252
1973,75,75-79,65067.00000000000,611537.5
1973,80,80-84,38609,238812.5
1973,85,85-89,15531,65449
1973,90,90-94,3814,11695.5
1973,95,95-99,619,1427
1973,100,100,81,149.5
1974,0,0-4,691029,20559908.5
1974,5,5-9,56921,18128409
1974,10,10-14,30989,15640225.5
1974,15,15-19,36756,12907434.5
1974,20,20-24,37881,10041645
1974,25,25-29,33733,8599433.5
1974,30,30-34,36561,8251509.5
1974,35,35-39,41512,7665703.5
1974,40,40-44,45570,6603638.5
1974,45,45-49,48869,5417999
1974,50,50-54,52744,4180683.5
1974,55,55-59,60872,3413339.5
1974,60,60-64,78087,2839076
1974,65,65-69,86217,2049347.5000000000
1974,70,70-74,86549,1275842
1974,75,75-79,68237,643437.5
1974,80,80-84,40817,253355.5
1974,85,85-89,16545,69858.5
1974,90,90-94,4079.0000000000000,12522.5
1974,95,95-99,660,1515
1974,100,100,88,160.5
1975,0,0-4,673843,20780148
1975,5,5-9,55598,18530925.5
1975,10,10-14,30724,16117636.5
1975,15,15-19,37087,13446860
1975,20,20-24,38600,10583954.5
1975,25,25-29,32880,8670741.5
1975,30,30-34,35521,8292092.000000000
1975,35,35-39,40973,7796635
1975,40,40-44,45602,6784439
1975,45,45-49,49725,5628048.5
1975,50,50-54,53909,4346293
1975,55,55-59,61090,3472185.5
1975,60,60-64,78797,2895241
1975,65,65-69,88598,2125562
1975,70,70-74,90031,1337412.5
1975,75,75-79,71364,677093.5
1975,80,80-84,43072,268926
1975,85,85-89,17565,74472
1975,90,90-94,4354,13408.5
1975,95,95-99,699,1605
1975,100,100,92,168
1976,0,0-4,657869,21012442
1976,5,5-9,54409,18883442.5
1976,10,10-14,30630,16594094.5
1976,15,15-19,37785,13978012.5
1976,20,20-24,39942,11122746
1976,25,25-29,32960,8833224
1976,30,30-34,35054,8340827.500000000
1976,35,35-39,40761,7901569.5
1976,40,40-44,46025,6965932.5
1976,45,45-49,50785,5826483
1976,50,50-54,55576,4532785
1976,55,55-59,61877,3547614.5
1976,60,60-64,79491,2941272
1976,65,65-69,91303,2202392.5
1976,70,70-74,93560,1396710
1976,75,75-79,74869,713258
1976,80,80-84,45555,285331
1976,85,85-89,18674,79297
1976,90,90-94,4660,14353.5
1976,95,95-99,740,1695
1976,100,100,95,173
1977,0,0-4,640564,21242249
1977,5,5-9,52374,19199085
1977,10,10-14,29986,17063203
1977,15,15-19,37569,14497903
1977,20,20-24,39995,11663958
1977,25,25-29,32330,9087454
1977,30,30-34,33646,8391036.5
1977,35,35-39,39438,7982571.5
1977,40,40-44,45422,7144515.5
1977,45,45-49,50755,6014426.5
1977,50,50-54,56497,4734925
