region_province,perc
Indonesia,33
NTB,57
NTT,55
Jawa Tengah,52
Sulawesi Selatan,52
Sumatera Utara,49
Bengkulu,48
Bali,47
Sulawesi Tengah,42
Sulawesi Barat,42
Jambi,41
Lampung,40
Kalimantan Utara,39
Sulawesi Tenggara,38
Jawa Timur,38
Gorontalo,37
Sulawesi Utara,33
Bangka Belitung,33
Kalimantan Tengah,32
Kepulauan Riau,32
Sumatera Selatan,30
Kalimantan Timur,28
DI Yogyakarta,27
Sumatera Barat,26
Papua Barat,26
Jawa Barat,24
Kalimantan Barat,24
Kalimantan Selatan,22
Maluku Utara,22
Aceh,21
Banten,20
Riau,19
Papua,16
DKI Jakarta,14
Maluku,9
