,Province,2016,2017,2018,2019,2020,2021
0,ACEH,2548,3806,4668,4822,4343,771
1,BABEL,642,841,1094,998,919,103
2,BALI,1446,1733,1824,2061,1455,281
3,BANTEN,6281,7967,19561,17513,14280,1963
4,BENGKULU,775,866,1323,1471,1001,140
5,DIY,1482,1836,1984,2256,1713,245
6,DKI JAKARTA,12500,21189,21580,23577,12799,1643
7,GORONTALO,670,287,890,1351,1203,299
8,JABAR,36259,44177,61550,69093,46432,8506
9,JAMBI,943,1110,1261,1396,1434,317
10,JATENG,17063,22707,31589,28355,24476,3990
11,JATIM,23518,25124,30538,32758,25786,3950
12,KALBAR,1748,1855,3165,3007,2859,447
13,KALSEL,2506,3300,4201,4124,1969,315
14,KALTARA,477,639,759,635,498,56
15,KALTENG,1224,1375,1609,1430,1360,176
16,KALTIM,2637,2928,3543,4934,2798,440
17,KEPRI,1905,2357,3747,2663,2539,374
18,LAMPUNG,3119,3720,5831,6440,6669,984
19,MALUKU,1755,2091,1540,1488,1061,161
20,MALUT,636,628,1100,1072,828,169
21,NTB,2389,2344,2458,2444,2335,396
22,NTT,2524,2454,3948,4471,3270,409
23,PAPUA,3798,5350,5721,5095,4278,723
24,PAPUA BARAT,1129,499,805,1393,906,264
25,RIAU,2332,4274,6656,6260,6329,1806
26,SULBAR,665,650,735,1026,1238,242
27,SULSEL,5715,8303,12908,8776,6839,1540
28,SULTENG,1411,2221,2973,2754,2910,570
29,SULTRA,1090,957,1397,1462,1398,294
30,SULUT,1591,1312,1910,2146,2223,251
31,SUMBAR,2807,3602,5421,5181,2503,385
32,SUMSEL,4376,8333,11761,11694,6622,1125
33,SUMUT,9081,11889,16060,16820,14006,2795
