Province,2016,2017,2018,2019,2020,2021
Aceh,444,403,652,494,457,114
Bangka Belitung,101,65,59,70,63,10
Bali,47,79,87,57,98,30
Banten,690,733,2553,1717,966,227
Bengkulu,71,61,157,179,58,14
DI Yogyakarta,149,123,208,207,107,31
DKI Jakarta,2739,3453,3667,3857,2520,357
Gorontalo,6,12,15,27,40,25
Jawa Barat,3647,5457,14206,10515,5610,1353
Jambi,86,101,65,64,102,55
Jawa Tengah,2411,2633,4470,3456,2832,765
Jawa Timur,1833,1716,2766,2655,1927,486
Kalimantan Barat,128,198,229,187,277,56
Kalimantan Selatan,180,207,463,474,195,85
Kalimantan Utara,138,234,222,182,129,9
Kalimantan Tengah,256,275,261,232,134,35
Kalimantan Timur,157,192,166,249,242,51
Kepulauan Riau,214,267,476,375,329,68
Lampung,128,104,211,54,140,38
Maluku,254,215,127,60,52,16
Maluku Utara,138,138,149,143,83,23
NTB,81,138,69,45,112,18
NTT,181,139,117,140,180,39
Papua,1628,1783,1834,1337,892,141
Papua Barat,387,153,221,409,295,94
Riau,465,529,546,420,274,114
Sulawesi Barat,51,34,27,32,63,10
Sulawesi Selatan,704,863,1743,1165,840,257
Sulawesi Tengah,88,127,118,171,176,57
Sulawesi Tenggara,93,71,108,112,55,29
Sulawesi Utara,335,119,109,122,118,26
Sumatera Barat,303,344,509,398,161,51
Sumatera Selatan,254,229,2846,443,450,124
Sumatera Utara,1445,1454,3003,1111,1156,348
