,Province,2016,2017,2018,2019,2020,2021
0,ACEH,235,550,280,456,705,3453
1,BABEL,94,66,96,34,294,766
2,BALI,27,5,46,36,414,1543
3,BANTEN,493,536,560,2150,2151,11689
4,BENGKULU,61,371,687,221,323,725
5,DIY,159,184,74,33,454,1472
6,DKI JAKARTA,2692,2866,3364,2163,5103,14611
7,GORONTALO,8,309,479,458,786,1455
8,JABAR,2787,5690,6874,13030,18428,42688
9,JAMBI,722,236,268,262,1015,1726
10,JATENG,3498,3851,4839,5487,4200,20336
11,JATIM,1158,2912,943,2626,4243,19531
12,KALBAR,937,936,719,2610,1921,3187
13,KALSEL,101,69,591,624,548,1782
14,KALTARA,103,472,80,439,193,506
15,KALTENG,110,146,204,173,509,1331
16,KALTIM,161,67,29,248,827,2367
17,KEPRI,197,24,25,207,368,2211
18,LAMPUNG,1004,913,8,254,2232,3657
19,MALUKU,617,1063,1697,2118,480,1138
20,MALUT,449,318,66,239,256,672
21,NTB,54,320,64,439,1052,3154
22,NTT,707,1513,416,236,879,2478
23,PAPUA,1226,824,1302,2841,1914,4432
24,PAPUA BARAT,236,1022,1053,707,165,866
25,RIAU,407,1023,349,155,39,3385
26,SULBAR,66,101,48,39,202,1185
27,SULSEL,560,615,1356,629,742,7380
28,SULTENG,361,217,469,51,451,1715
29,SULTRA,730,593,648,351,835,1412
30,SULUT,343,1093,885,942,1249,3086
31,SUMBAR,515,1089,629,553,1646,4325
32,SUMSEL,369,279,455,342,363,7000
33,SUMUT,955,386,301,1192,1553,9562
