Province,2016,2017,2018,2019,2020,2021
Aceh,94,166,511,253,238,122
Bangka Belitung,183,300,338,281,133,51
Bali,164,218,170,233,116,76
Banten,1221,1480,3418,3384,1738,998
Bengkulu,230,331,592,463,125,63
DI Yogyakarta,320,383,505,759,478,293
DKI Jakarta,3123,5270,5061,5575,2343,1660
Gorontalo,44,43,83,178,60,44
Jawa Barat,10853,12688,16192,25030,11635,7369
Jambi,213,208,378,553,132,102
Jawa Tengah,3280,6142,7632,8178,4053,2806
Jawa Timur,3625,3456,5497,5500,2768,1587
Kalimantan Barat,317,362,927,1264,590,335
Kalimantan Selatan,477,663,1295,824,195,120
Kalimantan Utara,80,305,274,362,72,40
Kalimantan Tengah,306,413,284,289,97,88
Kalimantan Timur,383,544,610,1034,414,255
Kepulauan Riau,321,446,711,656,360,206
Lampung,674,895,1674,1671,1221,511
Maluku,468,493,488,413,181,87
Maluku Utara,111,101,92,124,57,30
NTB,271,257,255,493,311,165
NTT,393,518,403,469,304,143
Papua,1647,2491,2695,2889,1856,1136
Papua Barat,292,263,358,435,161,106
Riau,298,750,1422,1175,620,360
Sulawesi Barat,51,65,75,105,76,68
Sulawesi Selatan,594,904,1650,1153,385,305
Sulawesi Tengah,107,232,388,216,159,89
Sulawesi Tenggara,67,90,156,151,71,40
Sulawesi Utara,141,237,222,193,99,99
Sumatera Barat,753,1184,1692,1827,692,510
Sumatera Selatan,657,1519,2449,2228,626,558
Sumatera Utara,854,1310,2583,1983,1000,476
