Province,2016,2017,2018,2019,2020,2021
Aceh,4,9,15,11,15,5
Bangka Belitung,4,7,5,6,9,1
Bali,11,31,20,29,9,4
Banten,25,55,89,77,43,4
Bengkulu,0,2,5,3,4,0
DI Yogyakarta,15,48,46,43,19,1
DKI Jakarta,99,237,313,268,195,49
Gorontalo,0,0,6,4,1,0
Jawa Barat,165,347,578,607,266,49
Jambi,3,10,3,5,8,1
Jawa Tengah,102,329,311,264,182,35
Jawa Timur,103,290,317,257,127,33
Kalimantan Barat,8,15,14,22,24,8
Kalimantan Selatan,10,39,31,28,14,2
Kalimantan Utara,7,20,6,5,1,0
Kalimantan Tengah,6,14,17,16,4,0
Kalimantan Timur,6,20,17,43,13,4
Kepulauan Riau,7,36,15,7,5,1
Lampung,10,46,34,12,15,3
Maluku,2,24,11,9,0,0
Maluku Utara,7,8,14,20,6,0
NTB,6,14,10,5,14,0
NTT,3,20,18,8,9,1
Papua,28,111,107,67,33,12
Papua Barat,7,14,11,8,9,0
Riau,11,48,62,12,7,2
Sulawesi Barat,3,7,19,7,2,0
Sulawesi Selatan,27,111,81,163,36,7
Sulawesi Tengah,4,10,19,10,5,1
Sulawesi Tenggara,4,8,4,4,2,0
Sulawesi Utara,4,17,14,10,6,1
Sumatera Barat,18,38,26,24,2,1
Sumatera Selatan,17,40,15,20,32,6
Sumatera Utara,24,106,75,82,71,5
