,Province,2016,2017,2018,2019,2020,2021
0,ACEH,117,170,122,159,267,112
1,BABEL,87,89,100,96,97,35
2,BALI,276,228,271,322,307,145
3,BANTEN,220,453,450,475,468,188
4,BENGKULU,45,56,74,79,73,42
5,DIY,163,159,269,269,163,77
6,DKI JAKARTA,480,1349,682,849,747,313
7,GORONTALO,43,8,27,58,88,50
8,JABAR,1099,2486,1508,1726,1703,852
9,JAMBI,73,80,71,78,143,105
10,JATENG,1021,1584,1444,1515,1605,736
11,JATIM,1684,1864,2195,2280,2072,974
12,KALBAR,86,139,158,226,276,101
13,KALSEL,222,212,271,257,185,95
14,KALTARA,42,93,73,77,52,31
15,KALTENG,80,135,103,99,75,56
16,KALTIM,139,184,203,210,240,104
17,KEPRI,96,135,155,147,148,65
18,LAMPUNG,176,198,234,186,353,119
19,MALUKU,95,121,70,47,65,20
20,MALUT,82,78,111,137,79,42
21,NTB,223,262,249,270,268,141
22,NTT,189,170,179,196,321,123
23,PAPUA,303,661,383,422,318,130
24,PAPUA BARAT,83,61,54,102,68,58
25,RIAU,131,292,243,292,390,196
26,SULBAR,65,63,89,95,95,55
27,SULSEL,557,677,707,732,675,450
28,SULTENG,113,167,176,167,219,137
29,SULTRA,99,82,132,153,147,78
30,SULUT,138,166,130,124,172,82
31,SUMBAR,257,302,278,305,269,136
32,SUMSEL,184,235,237,274,374,221
33,SUMUT,381,681,508,635,735,381
