Province,2016,2017,2018,2019,2020,2021
Aceh,235,550,569,458,705,3453
Bangka Belitung,94,66,125,34,294,766
Bali,27,5,48,36,414,1543
Banten,493,536,1664,3575,2151,11689
Bengkulu,61,371,687,221,323,725
DI Yogyakarta,159,184,74,33,454,1472
DKI Jakarta,2692,2866,3378,2163,5103,14611
Gorontalo,8,309,479,458,786,1455
Jawa Barat,2787,5690,12522,16308,18428,42688
Jambi,722,236,268,291,1015,1726
Jawa Tengah,3498,3851,4925,5487,4200,20336
Jawa Timur,1158,2912,2740,3290,4243,19531
Kalimantan Barat,937,936,719,2610,1921,3187
Kalimantan Selatan,101,69,616,750,548,1782
Kalimantan Utara,103,472,80,439,193,506
Kalimantan Tengah,110,146,204,173,509,1331
Kalimantan Timur,161,67,29,248,827,2367
Kepulauan Riau,197,24,89,228,368,2211
Lampung,1004,913,149,261,2232,3657
Maluku,617,1063,1697,2118,480,1138
Maluku Utara,449,318,66,239,256,672
NTB,54,320,217,439,1052,3154
NTT,707,1513,416,236,879,2478
Papua,1226,824,1302,2841,1914,4432
Papua Barat,236,1022,1053,707,165,866
Riau,407,1023,454,156,39,3385
Sulawesi Barat,66,101,48,39,202,1185
Sulawesi Selatan,560,615,2334,873,742,7380
Sulawesi Tengah,361,217,469,51,451,1715
Sulawesi Tenggara,730,593,648,351,835,1412
Sulawesi Utara,343,1093,885,942,1249,3086
Sumatera Barat,515,1089,710,567,1646,4325
Sumatera Selatan,369,279,511,358,363,7000
Sumatera Utara,955,386,315,1381,1553,9562
