Province,2016,2017,2018,2019,2020,2021
Aceh,94,166,511,253,238,122
Bangka Belitung,183,294,265,281,133,51
Bali,164,218,170,233,116,76
Banten,1221,1480,3418,3149,1738,998
Bengkulu,230,331,592,463,125,63
DI Yogyakarta,320,383,505,759,478,293
DKI Jakarta,3123,5270,5044,5575,2343,1660
Gorontalo,44,43,83,178,60,44
Jawa Barat,10853,12156,16101,22313,11635,7369
Jambi,213,208,378,551,132,102
Jawa Tengah,3280,5462,7632,8082,4053,2806
Jawa Timur,3625,3456,3973,5186,2768,1587
Kalimantan Barat,317,362,927,1264,590,335
Kalimantan Selatan,477,663,913,759,195,120
Kalimantan Utara,80,305,274,362,72,40
Kalimantan Tengah,306,413,284,289,97,88
Kalimantan Timur,383,544,610,1034,414,255
Kepulauan Riau,321,445,711,608,360,206
Lampung,674,895,1630,1670,1221,511
Maluku,468,493,488,413,181,87
Maluku Utara,111,101,92,124,57,30
NTB,271,257,255,493,311,165
NTT,393,518,403,469,304,143
Papua,1647,2483,2681,2889,1856,1136
Papua Barat,292,263,358,435,161,106
Riau,298,750,1422,1142,620,360
Sulawesi Barat,51,65,75,105,76,68
Sulawesi Selatan,594,904,1616,1103,385,305
Sulawesi Tengah,107,232,387,216,159,89
Sulawesi Tenggara,67,90,156,151,71,40
Sulawesi Utara,141,237,222,193,99,99
Sumatera Barat,753,1184,1692,1759,692,510
Sumatera Selatan,657,1519,2068,2056,626,558
Sumatera Utara,854,1310,2538,1970,1000,476
