Province,District,2016,2017,2018,2019,2020,2021
Maluku Utara,HALMAHERA BARAT,34,32,44,53,49,34
Maluku Utara,HALMAHERA SELATAN,33,35,41,58,40,15
Maluku Utara,HALMAHERA TENGAH,27,29,39,47,24,25
Maluku Utara,HALMAHERA TIMUR,22,7,32,45,20,7
Maluku Utara,HALMAHERA UTARA,39,45,45,58,37,26
Maluku Utara,KEPULAUAN SULA,33,21,23,33,26,20
Maluku Utara,KOTA TERNATE,44,89,46,59,50,32
Maluku Utara,KOTA TIDORE KEPULAUAN,39,44,46,69,41,22
Maluku Utara,PULAU MOROTAI,34,11,34,41,33,30
Maluku Utara,PULAU TALIABU,13,18,29,23,14,3
Papua,ASMAT,42,61,76,90,86,44
Papua,BIAK NUMFOR,96,99,131,114,58,24
Papua,BOVEN DIGOEL,87,96,111,107,72,39
Papua,DEIYAI,1,0,0,0,0,0
Papua,DOGIYAI,7,3,4,4,3,4
Papua,INTAN JAYA,0,1,3,7,0,0
Papua,JAYAPURA,153,157,160,54,37,25
Papua,JAYAWIJAYA,54,55,50,40,21,17
Papua,KEEROM,37,43,46,44,59,18
Papua,KOTA JAYAPURA,123,239,171,75,49,26
Papua,LANNY JAYA,1,0,0,2,3,1
Papua,MAMBERAMO RAYA,0,17,43,31,17,26
Papua,MAMBERAMO TENGAH,0,0,3,0,1,1
Papua,MAPPI,189,210,233,211,102,66
Papua,MERAUKE,62,92,100,87,70,30
Papua,MIMIKA,150,158,188,141,80,64
Papua,NABIRE,147,174,152,130,83,67
Papua,NDUGA,0,0,0,0,0,0
Papua,PANIAI,47,57,51,56,66,54
Papua,PEGUNUNGAN BINTANG,6,11,37,20,31,15
Papua,PUNCAK,1,0,0,4,5,1
Papua,PUNCAK JAYA,0,3,9,9,21,8
Papua,SARMI,33,31,49,54,31,13
Papua,SUPIORI,63,47,77,66,26,22
Papua,TOLIKARA,2,0,6,6,0,0
Papua,WAROPEN,9,28,34,27,17,13
Papua,YAHUKIMO,1,1,4,13,71,31
Papua,YALIMO,3,2,5,5,2,1
Papua,KEPULAUAN YAPEN,117,129,142,107,39,6
Papua Barat,FAKFAK,84,58,62,26,19,22
Papua Barat,KAIMANA,49,90,80,59,34,32
Papua Barat,KOTA SORONG,32,38,24,47,27,27
Papua Barat,MANOKWARI,108,94,116,121,52,32
Papua Barat,MANOKWARI SELATAN,10,54,69,34,93,44
Papua Barat,MAYBRAT,0,0,0,2,0,0
Papua Barat,PEGUNUNGAN ARFAK,0,0,0,0,10,0
Papua Barat,RAJA AMPAT,25,7,23,20,13,7
Papua Barat,SORONG,49,48,66,105,37,36
Papua Barat,SORONG SELATAN,62,84,115,71,18,23
Papua Barat,TAMBRAUW,0,0,0,0,6,1
Papua Barat,TELUK BINTUNI,13,31,76,20,13,9
Papua Barat,TELUK WONDAMA,137,74,67,65,52,36
