Province,District,2016,2017,2018,2019,2020,2021
Sumatera Utara,NIAS BARAT,12,32,44,30,19,14
Sumatera Utara,NIAS SELATAN,19,18,16,16,10,11
Sumatera Utara,NIAS UTARA,24,23,4,32,30,26
Sumatera Utara,PADANG LAWAS,38,14,30,38,26,17
Sumatera Utara,PADANG LAWAS UTARA,32,34,36,53,32,23
Sumatera Utara,PAKPAK BHARAT,40,63,58,75,38,19
Sumatera Utara,SAMOSIR,51,47,55,58,26,17
Sumatera Utara,SERDANG BEDAGAI,19,26,31,40,36,27
Sumatera Utara,SIMALUNGUN,33,36,44,54,45,24
Sumatera Utara,TAPANULI SELATAN,36,39,50,69,44,27
Sumatera Utara,TAPANULI TENGAH,35,38,48,52,28,16
Sumatera Utara,TAPANULI UTARA,15,30,41,60,47,42
Sumatera Utara,TOBA SAMOSIR,41,52,55,68,34,24
Sumatera Barat,AGAM,19,30,39,40,26,17
Sumatera Barat,DHARMASRAYA,30,36,50,44,14,10
Sumatera Barat,KEPULAUAN MENTAWAI,34,43,47,58,0,5
Sumatera Barat,KOTA BUKITTINGGI,24,38,63,48,31,22
Sumatera Barat,KOTA PADANG,29,38,42,59,32,29
Sumatera Barat,KOTA PADANG PANJANG,38,50,62,37,20,18
Sumatera Barat,KOTA PARIAMAN,34,46,67,55,18,24
Sumatera Barat,KOTA PAYAKUMBUH,24,27,23,33,23,9
Sumatera Barat,KOTA SAWAH LUNTO,26,28,25,27,2,7
Sumatera Barat,KOTA SOLOK,26,27,38,46,32,21
Sumatera Barat,LIMA PULUH KOTA,25,25,18,41,24,17
Sumatera Barat,PADANG PARIAMAN,36,41,39,57,84,37
Sumatera Barat,PASAMAN,42,49,82,54,33,31
Sumatera Barat,PASAMAN BARAT,29,51,57,55,8,30
Sumatera Barat,PESISIR SELATAN,44,45,53,80,42,37
Sumatera Barat,SIJUNJUNG,16,30,30,41,14,10
Sumatera Barat,SOLOK,22,22,41,34,8,9
Sumatera Barat,SOLOK SELATAN,30,31,31,45,32,21
Sumatera Barat,TANAH DATAR,21,21,25,36,15,14
Riau,BENGKALIS,17,26,23,33,31,21
Riau,INDRAGIRI HILIR,7,20,24,18,23,18
Riau,INDRAGIRI HULU,12,21,20,24,29,31
Riau,KAMPAR,17,30,32,34,29,26
Riau,KEPULAUAN MERANTI,25,29,34,29,26,11
Riau,KOTA DUMAI,24,31,61,43,40,34
Riau,KOTA PEKANBARU,26,48,68,57,41,24
Riau,KUANTAN SINGINGI,17,17,32,32,26,19
Riau,PELALAWAN,24,35,39,41,34,13
Riau,ROKAN HILIR,21,29,37,51,41,28
Riau,ROKAN HULU,19,42,44,47,38,20
Riau,SIAK,18,18,24,26,21,15
Kepulauan Riau,BINTAN,21,25,31,39,30,20
Kepulauan Riau,KARIMUN,39,34,49,48,33,20
Kepulauan Riau,KEPULAUAN ANAMBAS,13,20,45,45,30,12
Kepulauan Riau,KOTA BATAM,30,35,59,54,39,31
Kepulauan Riau,KOTA TANJUNG PINANG,46,65,49,60,38,24
Kepulauan Riau,LINGGA,28,25,29,33,29,13
Kepulauan Riau,NATUNA,13,23,21,33,20,6
Jambi,BATANG HARI,29,34,31,46,28,21
Jambi,BUNGO,27,16,26,23,28,19
Jambi,KERINCI,11,12,8,16,24,8
Jambi,KOTA JAMBI,24,28,33,31,29,18
Jambi,KOTA SUNGAI PENUH,12,15,10,11,11,9
Jambi,MERANGIN,16,31,32,61,32,21
Jambi,MUARO JAMBI,24,25,24,35,15,19
Jambi,SAROLANGUN,30,35,61,52,45,28
Jambi,TANJUNG JABUNG BARAT,18,23,45,42,22,13
Jambi,TANJUNG JABUNG TIMUR,15,9,22,32,21,12
Jambi,TEBO,23,23,29,33,21,14
Sumatera Selatan,BANYU ASIN,22,32,37,75,28,32
Sumatera Selatan,EMPAT LAWANG,21,33,31,49,36,9
Sumatera Selatan,KOTA LUBUKLINGGAU,28,86,84,78,23,22
Sumatera Selatan,KOTA PAGAR ALAM,31,29,50,38,21,14
Sumatera Selatan,KOTA PALEMBANG,26,47,77,48,33,29
Sumatera Selatan,KOTA PRABUMULIH,26,12,50,109,42,36
Sumatera Selatan,LAHAT,30,33,40,47,26,17
Sumatera Selatan,MUARA ENIM,37,44,55,78,47,31
Sumatera Selatan,MUSI BANYUASIN,19,36,50,73,35,29
Sumatera Selatan,MUSI RAWAS,28,33,46,64,42,35
Sumatera Selatan,MUSI RAWAS UTARA,50,12,56,45,45,35
Sumatera Selatan,OGAN ILIR,28,32,76,68,33,30
Sumatera Selatan,OGAN KOMERING ILIR,24,33,45,65,26,26
Sumatera Selatan,OGAN KOMERING ULU,26,35,54,83,29,28
Sumatera Selatan,OGAN KOMERING ULU SELATAN,12,6,31,26,13,13
Sumatera Selatan,OGAN KOMERING ULU TIMUR,21,42,49,63,24,20
Sumatera Selatan,PENUKAL ABAB,29,8,47,62,43,27
Bangka Belitung,BANGKA,23,27,37,41,32,20
Bangka Belitung,BANGKA BARAT,17,17,17,26,19,11
Bangka Belitung,BANGKA SELATAN,19,27,25,34,18,15
Bangka Belitung,BANGKA TENGAH,19,30,40,38,23,13
Bangka Belitung,BELITUNG,27,31,48,36,31,18
Bangka Belitung,BELITUNG TIMUR,14,18,23,26,25,16
Bangka Belitung,KOTA PANGKAL PINANG,27,52,41,43,47,21
Bengkulu,BENGKULU SELATAN,24,27,29,35,25,16
Bengkulu,BENGKULU TENGAH,25,24,36,31,21,18
Bengkulu,BENGKULU UTARA,20,21,26,28,16,12
Bengkulu,KAUR,16,21,24,31,18,6
Bengkulu,KEPAHIANG,18,30,55,59,55,13
Bengkulu,KOTA BENGKULU,23,28,46,46,25,11
Bengkulu,LEBONG,12,29,47,43,33,19
Bengkulu,MUKOMUKO,33,64,97,91,13,13
Bengkulu,REJANG LEBONG,15,22,30,39,25,13
Bengkulu,SELUMA,12,18,19,19,13,2
Lampung,KOTA BANDAR LAMPUNG,33,37,59,64,47,17
Lampung,KOTA METRO,23,24,40,53,51,24
