Province,District,2016-Jan-Mar,2016-Apr-Jun,2016-Jul-Sep,2016-Oct-Dec,2017-Jan-Mar,2017-Apr-Jun,2017-Jul-Sep,2017-Oct-Dec,2018-Jan-Mar,2018-Apr-Jun,2018-Jul-Sep,2018-Oct-Dec,NA,2019-Jan-Mar,2019-Apr-Jun,2019-Jul-Sep,2019-Oct-Dec,NA,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec
SUMUT,PAKPAK BHARAT,95,#DIV/0!,#DIV/0!,#DIV/0!,97,100,100,100,100,100,100,100,#DIV/0!,90,100,100,100,#DIV/0!,88,82,86,100,50,67,43,67,55,25,17,20,20,20,40,50,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMUT,SAMOSIR,89,86,57,95,84,84,86,83,88,92,94,80,#DIV/0!,85,90,88,94,#DIV/0!,80,82,86,75,70,71,82,90,73,86,70,100,86,50,60,62,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMUT,SERDANG BEDAGAI,91,88,95,90,92,85,91,91,95,90,92,95,98,90,95,95,96,#DIV/0!,88,91,92,89,81,94,91,89,82,93,86,83,88,80,74,49,27,0,0,0,0,0,0,#DIV/0!
SUMUT,SIMALUNGUN,95,95,95,94,97,93,91,94,91,100,100,94,100,93,93,95,91,#DIV/0!,89,92,89,90,81,74,81,74,69,75,77,76,55,34,21,17,4,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMUT,TAPANULI SELATAN,99,93,89,97,94,85,92,99,93,95,97,98,100,93,97,98,99,#DIV/0!,83,94,95,96,96,85,96,97,94,97,92,100,77,84,79,45,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMUT,TAPANULI TENGAH,98,99,99,98,100,100,98,97,87,83,91,94,85,97,97,98,99,#DIV/0!,84,84,91,85,81,90,89,85,88,70,70,66,43,58,41,9,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMUT,TAPANULI UTARA,89,87,83,92,88,98,21,0,100,100,99,100,#DIV/0!,99,99,92,99,#DIV/0!,88,94,97,100,86,84,90,74,100,91,100,94,85,79,62,42,3,0,0,0,0,0,0,#DIV/0!
SUMUT,TOBA SAMOSIR,99,86,99,100,98,98,98,97,99,91,96,90,76,88,90,88,96,#DIV/0!,80,88,96,87,93,84,86,88,83,82,90,58,73,50,63,18,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,AGAM,80,85,87,85,89,83,91,94,88,86,93,93,#DIV/0!,91,90,93,90,#DIV/0!,94,95,84,60,39,54,24,30,13,13,38,3,12,10,15,7,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,DHARMASRAYA,98,97,10,16,91,95,0,76,99,94,87,0,#DIV/0!,96,98,84,89,#DIV/0!,5,17,17,14,8,14,0,17,0,25,0,0,25,29,18,14,13,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,KEPULAUAN MENTAWAI,67,84,93,83,88,89,83,91,91,50,65,60,#DIV/0!,88,43,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,100,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!
