Province,2016,2017,2018,2019,2020,2021
Aceh,117,170,124,159,267,112
Bangka Belitung,87,89,100,96,97,35
Bali,276,228,271,322,307,145
Banten,220,453,510,476,468,188
Bengkulu,45,56,74,79,73,42
DI Yogyakarta,163,159,269,269,163,77
DKI Jakarta,480,1349,683,849,747,313
Gorontalo,43,8,27,58,88,50
Jawa Barat,1099,2486,1688,1744,1703,852
Jambi,73,80,71,78,143,105
Jawa Tengah,1021,1584,1462,1515,1605,736
Jawa Timur,1684,1864,2230,2285,2072,974
Kalimantan Barat,86,139,158,226,276,101
Kalimantan Selatan,222,212,271,257,185,95
Kalimantan Utara,42,93,73,77,52,31
Kalimantan Tengah,80,135,103,99,75,56
Kalimantan Timur,139,184,203,210,240,104
Kepulauan Riau,96,135,159,153,148,65
Lampung,176,198,243,186,353,119
Maluku,95,121,70,47,65,20
Maluku Utara,82,78,111,137,79,42
NTB,223,262,249,270,268,141
NTT,189,170,179,196,321,123
Papua,303,661,383,422,318,130
Papua Barat,83,61,54,102,68,58
Riau,131,292,250,293,390,196
Sulawesi Barat,65,63,89,95,95,55
Sulawesi Selatan,557,677,865,743,675,450
Sulawesi Tengah,113,167,176,167,219,137
Sulawesi Tenggara,99,82,132,153,147,78
Sulawesi Utara,138,166,131,124,172,82
Sumatera Barat,257,302,283,306,269,136
Sumatera Selatan,184,235,255,282,374,221
Sumatera Utara,381,681,523,635,735,381
