Province,2016,2017,2018,2019,2020,2021
Aceh,1,15,18,43,20,18
Bangka Belitung,10,45,41,52,66,41
Bali,295,270,189,384,294,189
Banten,60,112,197,286,253,197
Bengkulu,12,10,12,28,9,12
DI Yogyakarta,70,85,67,160,111,67
DKI Jakarta,689,853,603,1735,977,603
Gorontalo,0,7,30,31,30,30
Jawa Barat,290,446,766,1668,1096,766
Jambi,14,27,32,22,32,32
Jawa Tengah,418,661,476,1199,710,476
Jawa Timur,693,1013,603,1630,1174,603
Kalimantan Barat,2,26,104,165,171,104
Kalimantan Selatan,7,39,23,122,49,23
Kalimantan Utara,13,43,24,49,41,24
Kalimantan Tengah,16,22,30,67,34,30
Kalimantan Timur,38,44,72,187,124,72
Kepulauan Riau,138,174,186,406,296,186
Lampung,39,137,77,152,109,77
Maluku,32,75,44,154,63,44
Maluku Utara,4,30,27,56,46,27
NTB,2,17,26,51,57,26
NTT,38,124,84,172,153,84
Papua,896,851,461,1233,809,461
Papua Barat,174,139,131,262,157,131
Riau,36,124,75,183,130,75
Sulawesi Barat,2,12,6,16,8,6
Sulawesi Selatan,64,262,162,310,229,162
Sulawesi Tengah,2,23,55,59,64,55
Sulawesi Tenggara,9,29,28,50,24,28
Sulawesi Utara,40,92,77,114,105,77
Sumatera Barat,20,66,67,151,61,67
Sumatera Selatan,10,44,58,155,87,58
Sumatera Utara,249,357,218,557,326,218
