Province,2016,2017,2018,2019,2020,2021
Aceh,2656,2466,2651,2436,870,168
Bangka Belitung,773,772,822,892,240,72
Bali,1253,1399,1448,1661,594,148
Banten,7313,7552,7265,7968,3201,554
Bengkulu,965,1072,1325,1317,147,35
DI Yogyakarta,1175,1186,1222,1284,473,100
DKI Jakarta,8388,9870,10526,10355,3328,823
Gorontalo,1567,1183,2342,2139,206,64
Jawa Barat,26674,27553,30178,30838,9200,2391
Jambi,1939,2420,2685,2944,441,114
Jawa Tengah,14977,15900,17326,18735,7210,1854
Jawa Timur,21182,20229,22261,24766,9367,2518
Kalimantan Barat,2580,3087,3749,3474,1032,191
Kalimantan Selatan,2859,2838,2638,2064,513,115
Kalimantan Utara,346,289,427,437,103,39
Kalimantan Tengah,1347,1511,1395,1762,364,79
Kalimantan Timur,2154,2939,2866,2256,303,76
Kepulauan Riau,1135,1311,1630,1937,416,152
Lampung,4924,4930,8668,8843,2180,405
Maluku,1127,1004,1157,598,376,59
Maluku Utara,506,367,635,623,220,48
NTB,3480,3668,3698,4032,1689,322
NTT,2756,2273,2956,2563,727,180
Papua,2072,2110,2226,2038,1130,220
Papua Barat,420,179,231,476,158,102
Riau,3328,3971,3876,3817,1687,647
Sulawesi Barat,1029,1083,1234,1499,387,145
Sulawesi Selatan,5988,6485,6854,8084,3001,936
Sulawesi Tengah,1966,2374,2040,2665,387,133
Sulawesi Tenggara,2153,2343,2421,2210,540,175
Sulawesi Utara,3572,3519,3772,4442,1111,112
Sumatera Barat,3704,3772,3941,4857,1351,239
Sumatera Selatan,5630,6481,6506,7313,2023,461
Sumatera Utara,12806,12238,10851,11204,3253,854
