Province,2016,2017,2018,2019,2020,2021
Aceh,6013,7232,7927,8544,6730,4707
Bangka Belitung,1545,2009,2194,2131,1629,1001
Bali,3129,3566,3795,4205,2882,2166
Banten,14841,17234,29033,31015,21150,14732
Bengkulu,1829,2477,3533,3272,1573,962
DI Yogyakarta,3076,3530,3778,4150,2986,1947
DKI Jakarta,27810,38186,40082,42066,25143,18148
Gorontalo,1672,1935,3644,4020,2317,1920
Jawa Barat,72256,83162,101631,132414,81656,56448
Jambi,3496,3919,4333,4820,3103,2343
Jawa Tengah,36939,49404,58836,59268,40403,28119
Jawa Timur,49589,52828,58867,66716,43842,27948
Kalimantan Barat,5174,5963,7343,9529,6423,4043
Kalimantan Selatan,5847,7609,8031,7305,3396,2423
Kalimantan Utara,1223,1741,1563,1788,964,652
Kalimantan Tengah,2930,3433,3673,3848,2416,1691
Kalimantan Timur,5029,6207,6407,7737,4335,3066
Kepulauan Riau,3824,4485,5669,5488,3822,2910
Lampung,9469,10217,15839,16122,11620,5245
Maluku,3959,4525,4432,4377,2028,1405
Maluku Utara,1813,2193,2051,2222,1478,973
NTB,5997,6784,6443,7272,5423,4047
NTT,6359,7080,7361,7595,5286,3258
Papua,9227,11796,11498,11763,8581,5752
Papua Barat,2082,2094,2301,2967,1562,1411
Riau,6167,10263,11745,10999,8757,6220
Sulawesi Barat,1674,1996,2136,2736,1965,1657
Sulawesi Selatan,13482,17293,23010,20360,12393,10780
Sulawesi Tengah,3884,5181,6074,5822,4066,2644
Sulawesi Tenggara,3901,3931,4503,4524,2933,2012
Sulawesi Utara,5406,7215,6543,7852,4943,3603
Sumatera Barat,7482,9341,10557,11462,5903,5208
Sumatera Selatan,10344,15129,19362,20628,9920,9050
Sumatera Utara,23097,26222,29967,30652,20790,14146
