region_province,pop_num,e_inc,dstb_confirmed,drtb_confirmed,tb_confirmed,perc_treatment_coverage_confirmed
Aceh,5483702,20149,7389,176,7565,38
Sumatera Utara,14767655,62819,23103,553,23656,38
Sumatera Barat,5522731,22971,8897,131,9028,39
Riau,7159392,27634,9730,148,9878,36
Kepulauan Riau,2251976,10840,4206,57,4263,39
Jambi,3693933,13681,3911,64,3975,29
Sumatera Selatan,8605288,33773,14591,274,14865,44
"Kepulauan Bangka
Belitung",1524208,5923,1577,25,1602,27
Bengkulu,2028657,7760,2005,26,2031,26
Lampung,8558362,29508,12382,103,12485,42
Banten,13217890,33098,25838,382,26220,79
DKI Jakarta,10691409,47431,31526,951,32477,68
Jawa Barat,50153631,128057,101551,1702,103253,81
Jawa Tengah,35092453,83076,46636,794,47430,57
DI Yogyakarta,3899219,9074,3438,50,3488,38
Jawa Timur,40060234,95925,46346,1052,47398,49
Kalimantan Barat,5157153,17233,7937,130,8067,47
Kalimantan Tengah,2781232,9380,3158,35,3193,34
Kalimantan Selatan,4322749,15087,4528,82,4610,31
Kalimantan Timur,3809694,14459,5785,88,5873,41
Kalimantan Utara,771856,2772,1029,21,1050,38
Sulawesi Utara,2539822,9532,5957,138,6095,64
Gorontalo,1224895,4306,2947,59,3006,70
Sulawesi Tengah,3110482,10219,4125,75,4200,41
Sulawesi Selatan,8966939,31022,17442,405,17847,58
Sulawesi Barat,1411139,4446,2212,43,2255,51
Sulawesi Tenggara,2767606,9003,4263,73,4336,48
Bali,4399929,12406,3275,35,3310,27
Nusa Tenggara Barat,5147975,17736,6233,47,6280,35
Nusa Tenggara Timur,5565560,18856,5745,54,5799,31
Maluku,1839869,6587,3234,73,3307,50
Maluku Utara,1284341,4193,1932,59,1991,47
Papua,3450412,18530,9884,272,10156,55
Papua Barat,986104,6516,2155,91,2246,34
